,backdoor,ddos,dos,injection,mitm,normal,password,ransomware,scanning,xss
ssl_issuer,0.0,0.0,0.0,0.0,0.0,5.70144447920029e-07,0.0,0.0,0.0,0.0
http_trans_depth,4.256105967215262e-07,1.8723651010077446e-06,1.4863728210912086e-06,0.0006008449359796941,0.0,0.001371770177502185,0.0006735408736858517,0.0,1.2098353545297869e-05,0.00013950612847111188
http_method,7.068412742228247e-07,0.0,1.918779162224382e-06,0.00022483029897557572,0.0,0.0002438782001263462,3.576343569875462e-05,0.0,5.171051725483267e-07,0.00022011393448337913
http_uri,0.0,0.0,0.0,0.00126474384451285,0.0,0.022343755327165128,0.0042456407099962234,0.0,0.0,0.00011146084580104798
http_version,0.0,0.0,0.0,0.0,0.0,0.010568799450993538,1.0870152436837087e-06,0.0,6.29416854280862e-07,0.0
http_request_body_len,0.0,0.0,0.0,0.0,0.0,4.352362884674221e-06,0.0,0.0,0.0,0.0
http_response_body_len,0.0,0.0,0.0,0.0,0.0,0.007625475525856018,0.000558523039217107,0.0,0.0,0.0
http_status_code,0.0,0.0,0.0,0.0,0.0,0.002012493007350713,5.110998745294637e-06,0.0,0.0,0.0
http_user_agent,0.0,0.0,0.0,0.0,0.0,0.0012770359579008072,0.00046516198199242353,0.0,0.0,0.0
http_orig_mime_types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http_resp_mime_types,0.0,0.0,0.0,0.0,0.0,0.0009694651904283092,0.0003337591850140598,0.0,0.0,0.0
weird_name,2.79676578429644e-07,0.0003203019766260695,1.5848658222239464e-06,2.0424287504283713e-05,0.0,0.017506278678774835,1.3521540722649661e-07,0.0003486025088932365,8.001715741556836e-06,0.0004861975961830467
weird_addl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weird_notice,0.0,7.104805263224989e-05,0.0,8.01060741650872e-06,0.0,0.0050605244003236296,0.0,3.699753215187229e-05,7.175279279181268e-06,0.00018199867045041174
